Keyword,Synonym 1,Synonym 2,Synonym 3,Synonym 4
Tischlerei,Schreinerei,Möbelbau,Tischlermeister,Schreinermeister
Zimmerei,Zimmerer,Holzbau,Dachstuhl,Zimmermann
Hausverwaltung,Immobilienverwaltung,Mietverwaltung,WEG-Verwaltung,Immobilienmanagement
Pension,Frühstückspension,Herberge,Boutique Hotel,Gästehaus
Gebäudereinigung,Reinigungsfirma,Putzdienst,Hausreinigung,Reinigungsservice
Textilreinigung,Wäscherei,Chemische Reinigung,Bügelservice,Kleiderreinigung
Heizung Sanitär,Heizungsbau,SHK,Heizung-Sanitär-Klima,Sanitär-Heizung-Klima
Elektrofirma,Elektrobetrieb,Elektrotechnik,Elektroinstallation,Elektromeister
Dachdeckerei,Dachdeckerbetrieb,Dachdeckerfirma,Dachdeckermeister,Dacharbeiten
Malerfirma,Malerbetrieb,Maler,Malermeister,Anstrich
Metallbau,Metallbauer,Metallbauunternehmen,Metallbaumeister,Stahlbau
Schlosserei,Schlosser,Geländerbau,Schlossermeister,Schmiedearbeiten
Bauunternehmen,Baufirma,Bauträger,Baumeister,Baugeschäft
Maschinenbau,Maschinenbaufirma,Maschinenbauer,Anlagenbau,Industrietechnik
Gartenbaubetrieb,Gartenbaufirma,Gartenbauunternehmen,Garten- und Landschaftsbau,Landschaftsbau
Glaserei,Glaser,Glasbau,Spiegelherstellung,Glasbauunternehmen
Behälterbau,Behälteranlagen,Industriebehälter,Behälterbeschichtung,Tankbau
Tankschutz,Tank-Wartung,Tank-Reinigung,Tank-Instandhaltung,Tank-Reparatur
Oberflächenbeschichtung,Oberflächenschutz,Lackierung,Beschichtungstechnik,Pulverbeschichtung
Steinmetzbetrieb,Steinmetz,Natursteinbetrieb,Grabsteine,Marmorarbeiten
Hausmeisterservice,Hausmeisterfirma,Hausmeister,Gebäudeservice,Gebäudemanagement
Pflegedienst,Ambulanter Pflegedienst,Krankenpflege,Altenpflege,Pflegeheim
Sanitätshaus,Orthopädietechnik,Rehatechnik,Homecare,Gesundheitstechnik
Zahnarztpraxis,Zahnarzt,Dentalpraxis,Mundhygiene,Kieferorthopädie
Arztpraxis,Arzt,Medizinische Praxis,Allgemeinmedizin,Facharztpraxis
Tierarztpraxis,Tierarzt,Veterinärmedizin,Tierklinik,Veterinärpraxis
Rechtsanwaltskanzlei,Anwaltskanzlei,Rechtsberatung,Juridische Dienste,Anwalt
Steuerberatung,Steuerberater,Buchprüfung,Steuerkanzlei,Steuerkanzlei
Notariat,Notar,Beurkundung,Beglaubigung,Notariatskanzlei
Architekturbüro,Architekt,Planungsbüro,Bauplanung,Architekturdesign
Ingenieurbüro,Baustatik,Bauingenieurwesen,Technisches Büro,Planungsingenieur
Fotostudio,Fotograf,Fotoatelier,Portraitfotografie,Werbefotografie
Kosmetikstudio,Schönheitspflege,Kosmetikerin,Wellnessstudio,Nagelstudio
Friseursalon,Haarstudio,Coiffeur,Haarpflege,Friseurmeister
Reisebüro,Reisedienstleistungen,Urlaubsplanung,Reisevermittlung,Reiseberatung
Musikschule,Musikunterricht,Instrumentalunterricht,Musikakademie,Musikpädagogik
Fitnessstudio,Fitnesstraining,Sportstudio,Wellnesscenter,Fitnessclub
Kunstgalerie,Galerie,Kunsthandel,Kunstverkauf,Ausstellungsraum
Landwirtschaft,Bauernhof,Agrarbetrieb,Agrarwirtschaft,Landwirt
Bäckerei,Bäcker,Brotproduktion,Backwaren,Bäckereibetrieb
Metzgerei,Fleischerei,Fleischwaren,Wurstherstellung,Schlachterei
Winzerei,Weingut,Weinbau,Weinherstellung,Kellerei
Brauer,Brauerei,Bierherstellung,Bierbrauerei,Braukunst
Hotel,Unterkunft,Beherbergungsbetrieb,Gastgewerbe,Hotellerie
Verlag,Buchverlag,Zeitschriftenverlag,Verlagswesen,Publikationshaus
Druckerei,Druckhaus,Printservice,Druckservice,Druckproduktion
Filmproduktion,Videoproduktion,Filmstudio,Filmgesellschaft,Filmherstellung
Apotheke,Pharmazie,Medikamentenverkauf,Pharmazeutika,Drogerie
Supermarkt,Lebensmittelgeschäft,Einkaufsmarkt,Konsum,Biomarkt
Modegeschäft,Boutique,Textilhandel,Bekleidungsgeschäft,Modestore
Blumenladen,Florist,Blumengeschäft,Blumenhandel,Blumenfachgeschäft
Robotertechnik,Robotik,Automatisierungstechnik,Industrieroboter,Roboteranlagen
Automatisierung,Automatisierungssysteme,Steuerungstechnik,Prozessautomation,Industrieautomation
CNC-Fertigung,CNC-Bearbeitung,Präzisionsfertigung,Fräsmaschinen,Drehmaschinen
Pneumatik,Pneumatiksysteme,Drucklufttechnik,Automatisierungskomponenten,Pneumatikanlagen
Photovoltaik,Solaranlagen,Solarinstallation,Solartechnik,Photovoltaikmodule
Rehatechnik,Rehabilitationstechnik,Medizintechnik,Pflegehilfsmittel,Gesundheitsausstattung
Antriebstechnik,Getriebebau,Antriebssteuerung,Mechanische Antriebe,Schaltschrankbau
Gesundheitstechnik,Medizinprodukte,Gesundheitsausrüstung,Krankenhausausstattung,Pflegebedarf
