date,title,description,location,url,long_description,standort,branchen,mitarbeiter,jahresumsatz,preisvorstellung,international
25.10.2024,Tech-Vertriebsleiter mit Ingenieurhintergrund sucht Nachfolgeoptionen,Technischer Vertriebsleiter mit hoher Umsatz- u. Personalverantwortung mit ingenieurtechnischem Hintergrund sucht eine neue berufliche Herausforderung.,Nordrhein-Westfalen / Münster / Steinfurt,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212040,"
Welche Branchen werden forciert?

- Verarbeitendes Gewerbe im Bereich Kunststoff, Metall und der Kombination von beidem
- Technische Baugruppenherstellung

Was biete ich an?

- Über 10 Jahre Erfahrung im technischen und strategischen Vertrieb
- Internationale Verhandlungserfahrung in der EU, Afrika und Nordamerika
- Führung eines weltweiten technischen Vertriebsteams mit über 15 Mitarbeitenden
- Unternehmerisches Denken durch familiären Hintergrund in der Unternehmensführung
- Bereitschaft, das Unternehmen operativ weiterzuentwickeln und neue Märkte zu erschließen

Wer kommt als Verkäufer in Frage?

- Unternehmer, die eine schrittweise Übergabe an einen engagierten und qualifizierten Nachfolger planen
- Unternehmen im technischen oder produzierenden Bereich, die eine flexible Übergangslösung bevorzugen

Wie soll die Übergabe ablaufen?

- Übergangsphase flexibel zwischen 0,5 und 2 Jahren gestaltbar
- Enger Austausch mit dem aktuellen Inhaber, um eine reibungslose Übernahme sicherzustellen
- Gezielte Einarbeitung in die Unternehmensstrukturen, um den Fortbestand und das Wachstum des Unternehmens zu gewährleisten

Wann stehe ich zur Verfügung?

Ab sofort, mit der Möglichkeit, die Übergangsphase individuell an die Bedürfnisse des Unternehmens anzupassen

Wo suche ich?

Im Tecklenburger Land und Umgebung, insbesondere im Umkreis von 30 km um Osnabrück, Ibbenbüren, Rheine sowie das nördliche Münsterland

Besondere Eigenschaften:

Kombination aus technischem Fachwissen und langjähriger internationaler Vertriebserfahrung
Starkes Netzwerk in der Industrie und das Wissen dies aufzubauen, das die Geschäftsentwicklung fördert.
Umfassende Erfahrung im Führen und Motivieren eines globalen Teams

Abschließende Informationen:

Ich freue mich auf den Austausch mit Unternehmern, die eine langfristige Nachfolgelösung suchen. Gerne stehe ich für ein erstes unverbindliches Gespräch zur Verfügung, um die Möglichkeiten einer schrittweisen Unternehmensübergabe zu besprechen.",Nordrhein-Westfalen > Münster > Steinfurt,,11 - 20 Beschäftigte,Keine Angaben,Keine Angaben,
25.10.2024,Elektrobetrieb zur Übernahme/Altersnachfolge gesucht,Wir sind ein aufstrebendes Unternehmen. Im Rahmen unserer Expansion suchen wir kleinere bis mittlere Elektro-Betriebe,Nordrhein-Westfalen,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211852,"
Wir sind ein aufstrebendes Unternehmen mit zwei primären Standbeinen. Zum einen sind wir im Aftersales von Wasserstoff und Batteriesystemen im Nutzfahrzeugbereich unterwegs und setzen hier Hochvolt-Batteriesysteme von namenhaften Herstellern in stand. Das zweite Standbein ist die Wartung und Reparatur von industriellen Groß-Batteriespeichern. Hier zählen zu unseren Kunden Hersteller und Betreiber von Batteriespeichern im Bereich von 175kwh bis 54Mwh.

Das Führungs-Team besteht aus Ingenieuren aus der Elektrotechnik, sowie des Maschinenbaus mit starkem Fokus auf die erneuerbarer Energietechnik.

Im Rahmen unserer Expansion suchen wir kleinere bis mittlere Elektro-Betriebe mit folgendem Profil:
Motiviertes Team, dass offen für neue Themen ist
Bestehendes lokales Geschäft, optimalerweise bereits mit einem Anteil aus der regenerativen Energietechnik und Elektromobilität (PV, Ladetechnik, Batteriespeicher)
Stabile Kundenbeziehungen, optimalerweise auch im gewerblichen Umfeld
Wünschenswert wäre ein angestellter Meister
Funktionierende interne Strukturen vom Vertrieb bis zur Auftragsabarbeitung, sowie Buchhaltung
ein „guter Name“ und ein gewisser Bekanntheitsgrad im Markt
Gesellschaftsform: GmbH oder UG

Unsere Vision: „Gutes Erhalten, die Basis stärken und mit zusätzlichem Geschäft ausbauen“

Die Firma wird als eigenständiges Unternehmen weitergeführt. In der Startphase erwarten wir eine Einarbeitung in die Firma, dass wir die Mitarbeiter kennenlernen, die bestehenden Arbeitsweisen verstehen und die Kunden kennenlernen. Wir stärken das aktuelle Profil des Unternehmens und unterstützen in den Bereichen Einkauf, Vertrieb und Digitalisierung. Hierdurch werden nach unserer Erfahrung oftmals Kapazitäten frei und die Marge an den Projekten optimiert, um Liquidität und Kapazitäten für Weiterentwicklung zu mobilisieren. Durch Weiterbildungen der Mitarbeiter und zusätzliche Einarbeitung wird das Unternehmen Teil unseres Servicenetzwerks und bedient unter anderem auch unsere aktuellen Kunden bei der Wartung und Reparatur von stationären Batteriespeichern. Um die Kapazitäten zu erweitern, würden ggf. zusätzliche Mitarbeiter angestellt.
Wenn es die lokalen Gegebenheiten zulassen wäre auch ein Ausbau für die Reparatur von mobilen Batteriesystemen denkbar. Hierzu würden die Mitarbeiter weitere Schulungen erhalten und werden von unserem erfahrenen Team angeleitet.

Das bestehende Geschäft soll hierbei als Basis gefestigt werden, Synergien gehoben und durch das zusätzliche Geschäftsfeld, wird die Firma als starker Baustein unseres Netzwerks etabliert.

Wenn Sie bereits ein aussagekräftiges Expose Ihrer Firma haben, senden Sie uns dieses bitte zu. Falls dieses noch nicht vorliegen sollte, gehen wir mit Ihnen einfach in einen offenen Dialog.

Es ist uns wohl bewusst, dass die Altersnachfolge und der Verkauf einer Firma nicht publik werden sollte, da dieses negativ von Kunden oder Mitarbeitern aufgefasst oder zum Nachteil im Wettbewerb werden kann. Wir achten streng auf die Vertraulichkeit Ihrer Daten. Daher unterzeichnen wir auch gerne einen NDA mit Ihnen, bevor wir uns über Details Ihres Unternehmens unterhalten.

Wir freuen uns auf Ihre Anfrage.",Nordrhein-Westfalen,,Keine Angaben,Keine Angaben,Keine Angaben,
25.10.2024,Tischlerei/Raumausstatterbetrieb zu übernehmen gesucht,Familienunternehmen sucht Betrieb in OWL - Fenster & Türen + Rollladen- und Sonnenschutzhandwerk,Nordrhein-Westfalen / Detmold,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212081,"
Seit drei Generationen führen wir einen sehr erfolgreichen Betrieb in welchem wir uns auf die Beratung und Montage von hochwertigen Fenstern und Haustüren sowie dem Rollladen- und Sonnenschutzhandwerk spezialisiert haben. Wir sind ein Meisterbetrieb, welcher darüber hinaus seit vielen Jahren erfolgreich ausbildet.
Im Zuge der Erweiterung des Einzugsgebiets sowie dem strategischen Wachstum, suchen wir ein Unternehmen zur Beteiligung oder Übernahme.
Grundsätzlich sind wir für viele Konstellationen offen - je nach individueller Situation oder Vereinbarung. Sei es die sofortige Übernahme, die sukzessive Übernahme (z.B. im Zeitraum von 2-3 Jahren) oder eine Beteiligung.
Eine wichtige Grundlage für ein solchen Prozess sowie die stattfindenden Gespräche ist eine vertrauensvolle und verbindliche Kommunikation. Daher freuen wir uns über ein unverbindliches Kennenlernen.",Nordrhein-Westfalen > Detmold,Handwerk > Ausbaugewerbe > Raumausstatter; Handwerk > Ausbaugewerbe > Tischler; Handwerk > Ausbaugewerbe > Einbau von genormten Baufertigteilen; Handwerk > Ausbaugewerbe > Rollladen- und Sonnenschutztechniker,Keine Angaben,Keine Angaben,Keine Angaben,
25.10.2024,"Nachfolger für Ihr Lebenswerk gesucht, jetzt oder in naher Zukunft?","Mit meiner umfangreichen Managementerfahrung könnte ich der richtige Kandidat sein, um Ihr Lebenswerk mit dem bestehenden Team langfristig fortzuführen und weiterzuentwickeln.",Nordrhein-Westfalen / Arnsberg Rheinland-Pfalz / Koblenz Nordrhein-Westfalen / Münster Nordrhein-Westfalen / Köln,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=209803,"
Zu meiner Person:
• Aufgewachsen in einem Familienbetrieb, bin ich mit den Besonderheiten von Familienunternehmen von klein auf vertraut.
• Als Leistungssportler im Pferdesport Springreiten habe ich wertvolle Erfahrungen gesammelt und internationale Erfolge erlebt.
• Nach meinem BWL-Studium habe ich in namhaften deutschen und internationalen Familienunternehmen bis in Geschäftsführungspositionen moderne Unternehmensentwicklung erlernt und erfolgreich umgesetzt.
• Seit Jahren übernehme ich als selbständiger Geschäftsführer Neuorganisationsmandate in Familienunternehmen und stelle diese gemeinsam mit den Inhabern zukunftsfähig auf.
• Mit meiner umfangreichen Managementerfahrung in verschiedenen Branchen suche ich nun eine langfristige Aufgabe, die mein weiteres Berufsleben prägen wird.


Suchprofil
• Offen für alle Geschäftsmodelle, insbesondere aus den Branchen: Pferd, Haustier, Veterinärmedizin, Sport, sowie Unternehmen, die sich auf naturnahe Geschäftsmodelle spezialisieren.
• Hauptsitz bevorzugt im Rheinland oder benachbarten Regionen.",,"Dienstleistung; Land- und Forstwirtschaft, Fischerei; Kunst, Unterhaltung und Erholung; Handwerk; Verarbeitendes Gewerbe",Keine Angaben,Keine Angaben,Keine Angaben,
24.10.2024,Suche Einstieg in einen SHK-Betrieb,"Erfahrener Dipl. Ing. Versorgungstechnik, Dipl. Wirt. Ing. sucht einen SHK-Betrieb zur Übernahme.",Nordrhein-Westfalen / Arnsberg / Märkischer Kreis Nordrhein-Westfalen / Arnsberg / Hochsauerlandkreis,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212042,"
Erfahrener Dipl. Ing. Versorgungstechnik, Dipl. Wirt. Ing. mit sehr gutem technischem Verständnis und SHK-Markt Erfahrung sucht einen SHK-Betrieb im Umkreis von maximal 50 km um Arnsberg und bis zu 20 Mitarbeitern zur Übernahme. Gewünscht ist ein geordneter Übergang von zwei bis drei Jahren, um Kunden, Mitarbeiter und Betrieb kennenzulernen. Der Betrieb sollte schon erste Schritte im Bereich Digitalisierung gegangen sein.",,,11 - 20 Beschäftigte,Keine Angaben,Keine Angaben,
24.10.2024,06.11.2024 Unternehmensnachfolge für Brandenburg,"Sichern Sie sich Ihren Platz bei der exklusiven Matching-Veranstaltung ""Unternehmensnachfolge für Brandenburg"" am 6. November 2024 an der TH Wildau.",Brandenburg / Brandenburg / Dahme-Spreewald,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211940,"
Die Veranstaltung ""Unternehmensnachfolge für Brandenburg"" richtet sich an Nachfolgeinteressierte und Unternehmer*innen, die eine(n) geeignete(n) Nachfolger(in) für ihr Unternehmen suchen und bietet eine Plattform, um direkte Kontakte zu knüpfen und das eigene Netzwerk zu erweitern.

Alle weiteren Informationen und den Link zur Anmeldung sind über den untenstehenden Link zu finden. Die Anzahl der Plätze ist begrenzt, melden Sie sich gleich an!
https://www.th-wildau.de/hochschule/aktuelles/veranstaltung/unternehmensnachfolge-fuer-brandenburg-zweite-matching-veranstaltung-an-der-th-wildau

Alle News zur Veranstaltung und rund um die Themen Gründung und Nachfolge werden zudem regelmäßig auf LinkedIn veröffentlicht : www.linkedin.com/company/gun-alumni

Projekt im Rahmen der Richtlinie Gründen in Brandenburg (GiB). Weitere Informationen zum Projekt unter: http://www.th-wildau.de/alex/",Brandenburg > Brandenburg > Dahme-Spreewald,,Keine Angaben,Keine Angaben,Keine Angaben,
24.10.2024,Garten-und Landschaftsbaubetrieb zum Kauf gesucht,Wir suchen im Raum Aachen/Heinsberg einen Garten- und Landschaftsbaubetrieb zur Übernahme,Nordrhein-Westfalen / Köln / Städteregion Aachen,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212028,"
Ich suche im Raum Aachen/Heinsberg einen Garten- und Landschaftsbaubetrieb zur Übernahme.
Egal ob Sie aus Altersgründen oder anderen Gründen an der Abgabe Ihres Betriebes Interesse haben, ich suche einen Betrieb mit bestehenden Kunden und Mitarbeitern.
Schwerpunkt der Arbeiten: öffentlich und gewerblicher Neubau und/oder Pflege.",Nordrhein-Westfalen > Köln > Städteregion Aachen,"Land- und Forstwirtschaft, Fischerei; Baugewerbe; Handwerk",Keine Angaben,Keine Angaben,Keine Angaben,
24.10.2024,Maschinenbaubetrieb für Dosier- und Abfüllmaschinen,Wir suchen einen Maschinenbaubetrieb für Dosier- und Abfüllmaschinen zur Übernahme.,Hessen Rheinland-Pfalz Baden-Württemberg,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212030,"
Unser familiengeführtes Unternehmen greift auf mehr als 25 Jahre Erfahrung in der Projektierung und dem Bau von elektrischen Steuerungen inklusive deren Programmierung für halb- und vollautomatische Dosieranlagen sowie Abfüll- und Verschließmaschinen zurück.

Mit dem Einstieg der zweiten Generation in unser Unternehmen möchten wir unseren bestehenden Steuerungsbau um die Herstellung eigener Maschinen erweitern und so das angebotene Produktportfolio vergrößern.

Gesucht werden Maschinenbaubetriebe aus dem Bereich:
- Abfüll- und Verschließmaschinen
- Wägetechnik
- Prozessautomatisierung
- Artverwandte Maschinenbauer

Wir freuen uns auf Ihr Angebot und stehen gerne für Rückfragen zur Verfügung.",,,Keine Angaben,Keine Angaben,Keine Angaben,
23.10.2024,"Werkzeugschleiferei, Sonderwerkzeug, Zerspanwerkzeug, Präzisionswerkzeug",Wir möchten Ihre Werkzeugschleiferei fortführen. Schwerpunkt Fräs- und Bohrwerkzeuge. Unternehmensnachfolge - Verlagerung - Auflösung,Baden-Württemberg Rheinland-Pfalz Thüringen Bayern Hessen,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211962,"
Wir selbst sind in zweiter Generation im Bereich Werkzeugschärfen und Herstellung von Sonder-Zerspanwerkzeugen überregional tätig und möchten uns gerne erweitern.
Wir suchen entweder eine Verlagerung/Schließung einer internen Werkzeugschleiferei oder die Übernahme eines bestehenden Schleifbetriebes.

Wir suchen anspruchsvolle Kunden und Zerspanaufgaben.
Zu unseren Kunden zählen überregional sowohl kleine, bis hin zu sehr große Zerspanbetriebe und auch Konzerne. Wir sind in sehr vielen Bereichen der Metallzerspanung sehr erfahren.
Maschinenbau, Luftfahrt, Wehrtechnik, Lohnfertigung, Forschung, etc.",,Handwerk > Handwerke für den gewerblichen Bedarf; Dienstleistung; Verarbeitendes Gewerbe > Metallerzeugung und -verarbeitung; Verarbeitendes Gewerbe,Keine Angaben,Keine Angaben,Keine Angaben,
23.10.2024,CNC Rohrbiegen und Schweißen,"Wir sind auf der Suche nach einem Unternehmen, das sich auf CNC Rohrbiegen und Schweißen spezialisiert hat, um unser Portfolio zu erweitern.",Nordrhein-Westfalen / Detmold / Lippe,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212010,"
Wir sind auf der Suche nach einem Unternehmen, das sich auf CNC Rohrbiegen und Schweißen spezialisiert hat, um unser Portfolio zu erweitern. Besonders interessant sind Betriebe mit einem modernen Maschinenpark und hoher Präzision in der Fertigung. Unternehmen mit qualifiziertem Fachpersonal werden bevorzugt.",Nordrhein-Westfalen > Detmold > Lippe,,Keine Angaben,Keine Angaben,Keine Angaben,
